Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Año Comercial,Región del domicilio o casa matriz,Tramo según trabajadores dependientes informados,Número de empresas,Ventas anuales en UF,Número de trabajadores dependientes informados,Renta neta informada en UF,Trabajadores ponderados por meses trabajados,Número de trabajadores dependientes de género femenino informados,Trabajadores de género femenino,Trabajadores de género femenino ponderados por meses trabajados,Número de trabajadores dependientes de género masculino informados,"Renta neta informada en UF, trabajadores de género masculino",Trabajadores de género masculino ponderados por meses trabajados,Número de trabajadores a honorarios informados,Honorarios pagados informados en UF,Trabajadores a honorarios ponderados por meses trabajados,Número de trabajadores a honorarios de género femenino informados,Honorarios pagados informados a trabajadores de género femenino en UF,Trabajadores a honorarios de género femenino ponderados por meses trabajados,Número de trabajadores a honorarios de género masculino informados,Honorarios pagados informados a trabajadores de género masculino en UF,Trabajadores a honorarios de género masculino ponderados por meses trabajados
2005,Sin Información,0) Sin trabajadores,3009,73323.8,0,0,0,0,0,0,0,0,0,75,577.6489317447999,0,45,336.1743384646,0,30,241.4745990085,0
2005,Sin Información,1) 1 a 9 trabajadores,260,62.36,445,36490.585881282,337.6665913757,87,11047.400371516,64.7499817314,358,25443.185335404,272.9166103909,45,3275.9338912761,0,26,2056.0757146021,0,19,1127.689222332,0
2005,Sin Información,2) 10 a 49 trabajadores,13,*,205,*,151.2499575614,83,18095.058860792,68.5833196047,122,*,82.6666358711,153,*,0,81,*,0,72,*,0
2005,Sin Información,3) 50 a 249 trabajadores,2,*,283,*,235.083293915,144,31002.729493,119.666646958,139,*,115.41664505,280,*,0,108,*,0,172,*,0
2005,Región de Tarapacá,0) Sin trabajadores,10347,12384796.67,0,0,0,0,0,0,0,0,0,5699,161287.1005627561,0,2702,59853.9036328847,0,2997,100864.5798600722,0
2005,Región de Tarapacá,1) 1 a 9 trabajadores,3258,30106603,10324,612727.83105655,6632.9143897483,4147,230113.1861815513,2739.7491239611,6074,377025.1838171267,3840.9986229255,5156,229155.7200166264,0,2023,85325.1607929434,0,3133,143193.436187649,0
2005,Región de Tarapacá,2) 10 a 49 trabajadores,903,39274557.59,18405,1278531.037266952,10384.1619635701,5688,367681.7083051782,3442.3319396159,12638,905654.7320674154,6903.7467486429,5744,334567.065645686,0,1944,101003.4684076366,0,3800,231970.1895069623,0
2005,Región de Tarapacá,3) 50 a 249 trabajadores,225,22734947.71,22257,1877170.02438387,11785.6606979137,5588,500536.8201947351,3440.1653335478,16536,1376053.5343452,8338.4953842207,5748,267899.8118775704,0,2017,76073.3800773291,0,3731,191256.0238667432,0
